fecha,anio,mes,total_animales,lechones,cerdos_20_49kg,cebo_total,verracos,cerdas_reproductoras
2010-05-01,2010,5,2379953.11,675390.15,638089.27,905651.26,1230.3,159592.13
2010-11-01,2010,11,2588667.0,615849.0,757456.0,1065504.0,913.0,148945.0
2011-05-01,2011,5,2588667.0,615849.0,757456.0,1065504.0,913.0,148945.0
2011-11-01,2011,11,2435530.0,586759.0,754899.0,960853.0,899.0,132120.0
2012-05-01,2012,5,2752946.0,672880.0,926835.0,997173.0,906.0,155152.0
2012-11-01,2012,11,2599404.0,594996.0,770470.0,1076866.0,726.0,156346.0
2013-05-01,2013,5,2782937.0,660143.0,850869.0,1109545.0,700.0,161680.0
2013-11-01,2013,11,2864566.0,706179.0,824709.0,1164400.0,733.0,168545.0
2014-05-01,2014,5,2832958.755,784767.6029,862118.2342,1021334.914,704.5638427,164033.44
2014-11-01,2014,11,3037229.0,875912.0,935318.0,1045938.0,815.0,179246.0
2015-05-01,2015,5,3050903.001,766167.6081,1039758.167,1065979.108,753.3485221,178244.7687
2015-11-01,2015,11,3403630.0,916193.0,1086524.0,1219609.0,709.0,180595.0
2016-05-01,2016,5,3263884.37,767123.9733,1122068.642,1219604.489,611.8274438,154475.4376
2016-11-01,2016,11,3541407.0,887001.0,999286.0,1466116.0,902.0,188102.0
2017-05-01,2017,5,3523757.112,955309.0686,1078469.809,1290529.216,935.3747304,198513.6427
2017-11-01,2017,11,3869563.0,816766.0,1209309.0,1640415.0,838.0,202235.0
2018-05-01,2018,5,3831326.713,942655.0844,1314270.231,1367578.015,781.6853639,206041.6963
2018-11-01,2018,11,4046830.0,1106019.0,1153335.0,1573579.0,816.0,213081.0
2019-05-01,2019,5,3836836.0,908498.0,1274077.0,1442213.0,838.0,211210.0
2019-11-01,2019,11,4095443.0,954488.0,1270780.0,1645824.0,933.0,223418.0
2020-05-01,2020,5,4516184.0,1092780.0,1472413.0,1718349.0,1016.0,231626.0
2020-11-01,2020,11,4427110.0,1013727.0,1354591.0,1822513.0,911.0,235368.0
2021-05-01,2021,5,4684476.0,1143205.0,1338828.0,1953988.0,951.0,247504.0
2021-11-01,2021,11,5029745.0,1323069.0,1732709.0,1711618.0,816.0,261533.0
2022-05-01,2022,5,4740237.0,1235854.0,1577059.0,1673105.0,821.0,253398.0
2022-11-01,2022,11,4907410.0,1427381.0,1840990.0,1387716.0,713.0,250610.0
2023-05-01,2023,5,4971085.0,1324708.0,1875868.0,1514996.0,741.0,254772.0
2023-11-01,2023,11,5106266.0,1563547.0,1326464.0,1914525.0,912.0,300818.0
2024-05-01,2024,5,5156222.0,1664123.0,1326711.0,1891285.0,829.0,273274.0
2024-11-01,2024,11,5099794.0,1335264.0,1987621.0,1520210.0,826.0,255873.0
2025-05-01,2025,5,5183335.0,1144405.0,1786128.0,1985138.0,713.0,266951.0
