cell_id,score_idoneidad,escala_optima,VAN_esperado,VAN_p50,VAN_p5,VAN_p95,prob_VAN_positivo,prob_TIR_sobre_WACC,TIR_p50,utilizacion_media
13733.0,87.1,Grande,1955877.481004837,2014260.574361178,-3346623.0217209863,7154927.357886764,0.72288,0.72288,0.10030424343370548,0.9856028603320274
13803.0,86.67,Grande,2210549.050899371,2238583.4418988256,-2935577.77011708,7326394.969852791,0.75128,0.75128,0.10267464374154112,0.9945033475454638
13469.0,86.16,Grande,2203930.2325592027,2223591.399237058,-2951883.796341522,7290940.763502647,0.7504,0.7504,0.1024592861366127,0.9916944384786558
13735.0,86.15,Grande,1661189.4591322227,1709559.8562334338,-3781719.3678716226,7035353.312971132,0.69096,0.69096,0.09711102412885786,0.9766014356917644
13802.0,85.98,Grande,2083980.779306717,2098884.5586312255,-2964584.5547735463,7135425.22333874,0.74028,0.74028,0.10099263143133252,0.9959318087844268
13344.0,85.92,Grande,703111.7058197081,714766.0991947269,-4529347.114292394,5965108.206871452,0.58284,0.58284,0.08671693484167686,0.9866067019917598
13738.0,85.86,Grande,1692930.2467103743,1728481.5772174802,-3567044.740088672,6921050.467324334,0.69592,0.69592,0.09718342817575443,0.9855106736472873
13740.0,85.8,Grande,1834193.8902936634,1832127.0636630105,-3236799.5558046037,6895924.741111642,0.71872,0.71872,0.09803536831557347,0.9981251665759275
13849.0,85.79,Grande,1844535.3511385717,1887194.1019031415,-3624812.0439254693,7219246.396565012,0.70836,0.70836,0.0991082603851633,0.9745677295192168
13179.0,85.77,Grande,390259.5701435194,398035.2022675527,-5537053.924918417,6325667.486727902,0.54132,0.54132,0.08407789822630363,0.9096970539152974
